Index & ID  & CEL  & NUSE & GNUSE & RLE & MA-plot & Boxplot & Heatmap\\
  282 & 3823 & GSM85497.CEL.gz & 0 & 0 & 6 & 0 & 9 & 0 \\
  283 & 3865 & GSM467542.CEL.gz & 7 & 2 & 0 & 0 & 0 & 0 \\
  284 & 3867 & GSM467544.CEL.gz & 8 & 0 & 0 & 0 & 0 & 0 \\
  285 & 3868 & GSM467545.CEL.gz & 8 & 0 & 0 & 0 & 0 & 0 \\
  286 & 3870 & GSM467547.CEL.gz & 8 & 6 & 0 & 0 & 0 & 0 \\
  287 & 3885 & GSM467562.CEL.gz & 9 & 1 & 8 & 0 & 10 & 8 \\
  288 & 3889 & GSM467566.CEL.gz & 10 & 8 & 0 & 0 & 6 & 1 \\
  289 & 3898 & GSM467575.CEL.gz & 10 & 10 & 10 & 0 & 10 & 10 \\
  290 & 3902 & GSM467579.CEL.gz & 4 & 8 & 0 & 0 & 0 & 0 \\
  291 & 3914 & GSM467591.CEL.gz & 10 & 7 & 0 & 0 & 0 & 3 \\
  292 & 3930 & GSM540108\_160306-23.CEL.gz & 10 & 9 & 10 & 0 & 9 & 10 \\
  293 & 3931 & GSM540109\_060406-05.CEL.gz & 10 & 10 & 10 & 0 & 10 & 10 \\
  294 & 3932 & GSM540110\_200406-16.CEL.gz & 10 & 9 & 10 & 0 & 10 & 10 \\
  295 & 3938 & GSM540116\_160302-01.CEL.gz & 2 & 0 & 5 & 0 & 2 & 0 \\
  296 & 3952 & GSM540130\_160302-02.CEL.gz & 1 & 0 & 0 & 0 & 0 & 10 \\
  297 & 3961 & GSM540139\_080414-04.CEL.gz & 8 & 9 & 10 & 0 & 10 & 10 \\
  298 & 3963 & GSM540141\_090905-02.CEL.gz & 10 & 10 & 10 & 0 & 10 & 10 \\
  299 & 3970 & GSM540148\_090205-23.CEL.gz & 0 & 0 & 1 & 0 & 1 & 8 \\
  300 & 4009 & GSM540187\_080318-06.CEL.gz & 0 & 0 & 6 & 0 & 0 & 0 \\
  301 & 4016 & GSM540194\_270905-10.CEL.gz & 1 & 5 & 0 & 0 & 0 & 0 \\
  302 & 4017 & GSM540195\_260106-08.CEL.gz & 5 & 4 & 1 & 0 & 1 & 6 \\
  303 & 4023 & GSM540201\_260106-07.CEL.gz & 0 & 0 & 0 & 0 & 0 & 7 \\
  304 & 4036 & GSM540214\_260106-06\_2nd\_scan\_taches.CEL.gz & 10 & 10 & 10 & 0 & 9 & 9 \\
  305 & 4053 & GSM540231\_071205-05.CEL.gz & 10 & 10 & 10 & 0 & 10 & 10 \\
  306 & 4139 & GSM540317\_15719\_T1.CEL.gz & 8 & 10 & 10 & 0 & 10 & 0 \\
  307 & 4140 & GSM540318\_15724\_T2.CEL.gz & 7 & 10 & 8 & 0 & 2 & 0 \\
  308 & 4141 & GSM540319\_15744\_T7.CEL.gz & 6 & 9 & 10 & 0 & 10 & 0 \\
  309 & 4143 & GSM540321\_15765\_T9.CEL.gz & 0 & 8 & 3 & 0 & 1 & 0 \\
  310 & 4144 & GSM540322\_15986\_T24.CEL.gz & 9 & 10 & 10 & 0 & 9 & 0 \\
  311 & 4145 & GSM540323\_16137\_T39.CEL.gz & 6 & 9 & 10 & 0 & 9 & 0 \\
  312 & 4146 & GSM540324\_16325\_T56.CEL.gz & 4 & 10 & 10 & 0 & 10 & 0 \\
  313 & 4147 & GSM540325\_17231\_T125.CEL.gz & 2 & 7 & 10 & 0 & 8 & 3 \\
  314 & 4154 & GSM540332\_090115-08.CEL.gz & 6 & 6 & 0 & 0 & 9 & 0 \\
  315 & 4165 & GSM540343\_090129-01.CEL.gz & 0 & 0 & 1 & 0 & 2 & 10 \\
  316 & 4198 & GSM441382.CEL.gz & 0 & 0 & 0 & 0 & 0 & 10 \\
  317 & 4214 & GSM441366.CEL.gz & 10 & 0 & 0 & 0 & 0 & 0 \\
  318 & 4216 & GSM441368.CEL.gz & 0 & 10 & 8 & 0 & 10 & 0 \\
  319 & 4220 & GSM441372.CEL.gz & 0 & 0 & 1 & 0 & 9 & 0 \\
